Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2018-2019,19,64733,6016257,Los Angeles,Los Angeles Unified,Calahan Street Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,538,288,53.50%,359,66.70%,527,285,54.10%,354,67.20%,Y
2018-2019,19,64733,6016265,Los Angeles,Los Angeles Unified,Calvert Charter for Enriched Studies,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1585,Locally funded,N,K,5,375,191,50.90%,235,62.70%,371,189,50.90%,233,62.80%,Y
2018-2019,19,64733,6016273,Los Angeles,Los Angeles Unified,Camellia Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,546,474,86.80%,499,91.40%,513,450,87.70%,472,92.00%,Y
2018-2019,19,64733,6016281,Los Angeles,Los Angeles Unified,Canfield Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,412,104,25.20%,114,27.70%,393,101,25.70%,110,28.00%,Y
2018-2019,19,64733,6016299,Los Angeles,Los Angeles Unified,Canoga Park Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,640,576,90.00%,590,92.20%,598,538,90.00%,551,92.10%,Y
2018-2019,19,64733,6016307,Los Angeles,Los Angeles Unified,Cantara Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,431,336,78.00%,361,83.80%,396,311,78.50%,334,84.30%,Y
2018-2019,19,64733,6016315,Los Angeles,Los Angeles Unified,Canterbury Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,835,580,69.50%,665,79.60%,802,560,69.80%,638,79.60%,Y
2018-2019,19,64733,6016323,Los Angeles,Los Angeles Unified,Canyon Charter Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,226,Locally funded,N,K,5,398,16,4.00%,17,4.30%,397,16,4.00%,17,4.30%,Y
2018-2019,19,64733,6016331,Los Angeles,Los Angeles Unified,Capistrano Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,444,296,66.70%,349,78.60%,432,289,66.90%,339,78.50%,Y
2018-2019,19,64733,6016349,Los Angeles,Los Angeles Unified,Caroldale Learning Community,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,919,553,60.20%,681,74.10%,909,547,60.20%,674,74.10%,Y
2018-2019,19,64733,6016356,Los Angeles,Los Angeles Unified,Carpenter Community Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1235,Locally funded,N,K,5,"1,014",117,11.50%,126,12.40%,992,115,11.60%,124,12.50%,Y
2018-2019,19,64733,6016364,Los Angeles,Los Angeles Unified,Carson Street Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,701,427,60.90%,534,76.20%,672,407,60.60%,510,75.90%,Y
2018-2019,19,64733,6016372,Los Angeles,Los Angeles Unified,Carthay Elementary Of Environmental Studies Magnet,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,352,190,54.00%,220,62.50%,322,175,54.30%,202,62.70%,Y
2018-2019,19,64733,6016380,Los Angeles,Los Angeles Unified,Castelar Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,641,379,59.10%,387,60.40%,638,377,59.10%,385,60.30%,Y
2018-2019,19,64733,6016398,Los Angeles,Los Angeles Unified,Castle Heights Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,571,165,28.90%,180,31.50%,564,162,28.70%,177,31.40%,Y
2018-2019,19,64733,6016406,Los Angeles,Los Angeles Unified,Catskill Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,508,389,76.60%,419,82.50%,480,370,77.10%,397,82.70%,Y
2018-2019,19,64733,6016414,Los Angeles,Los Angeles Unified,Century Park Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,326,277,85.00%,287,88.00%,298,261,87.60%,270,90.60%,Y
2018-2019,19,64733,6016422,Los Angeles,Los Angeles Unified,Chandler Learning Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,No,N/A,N/A,N,K,5,518,200,38.60%,247,47.70%,502,197,39.20%,242,48.20%,Y
2018-2019,19,64733,6016430,Los Angeles,Los Angeles Unified,Chapman Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,446,302,67.70%,351,78.70%,420,285,67.90%,334,79.50%,Y
2018-2019,19,64733,6016448,Los Angeles,Los Angeles Unified,Charnock Road Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,343,235,68.50%,274,79.90%,285,206,72.30%,234,82.10%,Y
2018-2019,19,64733,6016455,Los Angeles,Los Angeles Unified,Chase Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,548,448,81.80%,485,88.50%,516,428,82.90%,465,90.10%,Y
2018-2019,19,64733,6016463,Los Angeles,Los Angeles Unified,Chatsworth Park Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,395,218,55.20%,261,66.10%,387,214,55.30%,257,66.40%,Y
2018-2019,19,64733,6016471,Los Angeles,Los Angeles Unified,Cheremoya Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,273,168,61.50%,174,63.70%,263,162,61.60%,168,63.90%,Y
2018-2019,19,64733,6016489,Los Angeles,Los Angeles Unified,Cienega Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,579,507,87.60%,525,90.70%,544,477,87.70%,495,91.00%,Y
2018-2019,19,64733,6016497,Los Angeles,Los Angeles Unified,Cimarron Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,318,224,70.40%,243,76.40%,293,209,71.30%,226,77.10%,Y
2018-2019,19,64733,6016505,Los Angeles,Los Angeles Unified,City Terrace Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,460,310,67.40%,330,71.70%,426,288,67.60%,307,72.10%,Y
2018-2019,19,64733,6016513,Los Angeles,Los Angeles Unified,Clifford Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,142,85,59.90%,99,69.70%,141,84,59.60%,98,69.50%,Y
2018-2019,19,64733,6016521,Los Angeles,Los Angeles Unified,Clover Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,570,135,23.70%,150,26.30%,553,132,23.90%,147,26.60%,Y
2018-2019,19,64733,6016539,Los Angeles,Los Angeles Unified,Coeur D'Alene Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,579,83,14.30%,88,15.20%,567,80,14.10%,85,15.00%,Y
2018-2019,19,64733,6016547,Los Angeles,Los Angeles Unified,Cohasset Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,538,447,83.10%,478,88.80%,503,421,83.70%,450,89.50%,Y
2018-2019,19,64733,6016554,Los Angeles,Los Angeles Unified,Coldwater Canyon Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,700,592,84.60%,620,88.60%,663,567,85.50%,592,89.30%,Y
2018-2019,19,64733,6016562,Los Angeles,Los Angeles Unified,Colfax Charter Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1041,Locally funded,N,K,5,659,146,22.20%,163,24.70%,647,145,22.40%,162,25.00%,Y
2018-2019,19,64733,6016570,Los Angeles,Los Angeles Unified,Coliseum Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,171,151,88.30%,155,90.60%,166,147,88.60%,151,91.00%,Y
2018-2019,19,64733,6016604,Los Angeles,Los Angeles Unified,Commonwealth Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,662,520,78.50%,553,83.50%,603,485,80.40%,517,85.70%,Y
2018-2019,19,64733,6016612,Los Angeles,Los Angeles Unified,Compton Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,346,322,93.10%,327,94.50%,322,299,92.90%,304,94.40%,Y
2018-2019,19,64733,6016620,Los Angeles,Los Angeles Unified,Corona Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,795,681,85.70%,730,91.80%,795,681,85.70%,730,91.80%,Y
2018-2019,19,64733,6016638,Los Angeles,Los Angeles Unified,Betty Plasencia Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,571,490,85.80%,516,90.40%,543,466,85.80%,490,90.20%,Y
2018-2019,19,64733,6016646,Los Angeles,Los Angeles Unified,Cowan Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,355,185,52.10%,236,66.50%,354,185,52.30%,235,66.40%,Y
2018-2019,19,64733,6016653,Los Angeles,Los Angeles Unified,Crescent Heights Boulevard Elementary,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,5,346,301,87.00%,327,94.50%,337,294,87.20%,318,94.40%,Y
2018-2019,19,64733,6016661,Los Angeles,Los Angeles Unified,Crestwood Street Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,408,232,56.90%,269,65.90%,397,227,57.20%,263,66.20%,Y
2018-2019,19,64733,6016679,Los Angeles,Los Angeles Unified,Christopher Dena Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,448,410,91.50%,422,94.20%,426,389,91.30%,400,93.90%,Y
2018-2019,19,64733,6016687,Los Angeles,Los Angeles Unified,Dahlia Heights Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,420,80,19.00%,92,21.90%,416,80,19.20%,91,21.90%,Y
2018-2019,19,64733,6016695,Los Angeles,Los Angeles Unified,Danube Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,367,216,58.90%,258,70.30%,340,203,59.70%,240,70.60%,Y
2018-2019,19,64733,6016703,Los Angeles,Los Angeles Unified,Darby Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,438,178,40.60%,233,53.20%,432,175,40.50%,229,53.00%,Y
2018-2019,19,64733,6016711,Los Angeles,Los Angeles Unified,Dayton Heights Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,405,338,83.50%,352,86.90%,400,334,83.50%,348,87.00%,Y
2018-2019,19,64733,6016729,Los Angeles,Los Angeles Unified,Dearborn Elementary Charter Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1481,Locally funded,N,K,5,548,242,44.20%,309,56.40%,534,236,44.20%,302,56.60%,Y
2018-2019,19,64733,6016737,Los Angeles,Los Angeles Unified,Del Amo Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,366,242,66.10%,267,73.00%,339,222,65.50%,247,72.90%,Y
2018-2019,19,64733,6016745,Los Angeles,Los Angeles Unified,Delevan Drive Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,505,225,44.60%,297,58.80%,468,213,45.50%,282,60.30%,Y
2018-2019,19,64733,6016752,Los Angeles,Los Angeles Unified,Denker Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,783,488,62.30%,590,75.40%,732,457,62.40%,553,75.50%,Y
2018-2019,19,64733,6016778,Los Angeles,Los Angeles Unified,Dixie Canyon Community Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1469,Locally funded,N,K,5,742,153,20.60%,177,23.90%,728,150,20.60%,174,23.90%,Y
2018-2019,19,64733,6016786,Los Angeles,Los Angeles Unified,Dolores Street Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,576,382,66.30%,468,81.30%,543,364,67.00%,445,82.00%,Y
2018-2019,19,64733,6016794,Los Angeles,Los Angeles Unified,Dominguez Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,529,385,72.80%,464,87.70%,489,356,72.80%,430,87.90%,Y
2018-2019,19,64733,6016802,Los Angeles,Los Angeles Unified,Dorris Place Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,306,221,72.20%,259,84.60%,290,211,72.80%,247,85.20%,Y
2018-2019,19,64733,6016810,Los Angeles,Los Angeles Unified,Tom Bradley Global Awareness Magnet,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No ,N/A,N/A,N,K,5,291,263,90.40%,272,93.50%,286,260,90.90%,269,94.10%,Y
2018-2019,19,64733,6016828,Los Angeles,Los Angeles Unified,Dyer Street Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,699,550,78.70%,610,87.30%,638,502,78.70%,555,87.00%,Y
2018-2019,19,64733,6016836,Los Angeles,Los Angeles Unified,Eagle Rock Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,791,298,37.70%,390,49.30%,757,283,37.40%,371,49.00%,Y
2018-2019,19,64733,6016844,Los Angeles,Los Angeles Unified,Eastman Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,767,689,89.80%,711,92.70%,727,661,90.90%,683,93.90%,Y
2018-2019,19,64733,6016851,Los Angeles,Los Angeles Unified,El Dorado Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,437,339,77.60%,355,81.20%,407,319,78.40%,333,81.80%,Y
2018-2019,19,64733,6016869,Los Angeles,Los Angeles Unified,El Oro Way Charter For Enriched Studies,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1466,Locally funded,N,K,5,460,101,22.00%,120,26.10%,452,100,22.10%,119,26.30%,Y
2018-2019,19,64733,6016877,Los Angeles,Los Angeles Unified,El Sereno Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,340,268,78.80%,274,80.60%,335,263,78.50%,269,80.30%,Y
2018-2019,19,64733,6016885,Los Angeles,Los Angeles Unified,Elizabeth Learning Center,Unified School District,K-12 Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,12,"1,750","1,551",88.60%,"1,634",93.40%,"1,691","1,512",89.40%,"1,592",94.10%,Y
2018-2019,19,64733,6016893,Los Angeles,Los Angeles Unified,Elysian Heights Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,316,187,59.20%,200,63.30%,307,184,59.90%,196,63.80%,Y
2018-2019,19,64733,6016901,Los Angeles,Los Angeles Unified,Emelita Academy Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,No,N/A,N/A,N,K,5,372,218,58.60%,248,66.70%,361,209,57.90%,239,66.20%,Y
2018-2019,19,64733,6016935,Los Angeles,Los Angeles Unified,Encino Charter Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1471,Locally funded,N,K,5,595,120,20.20%,132,22.20%,583,119,20.40%,131,22.50%,Y
2018-2019,19,64733,6016943,Los Angeles,Los Angeles Unified,Erwin Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,698,554,79.40%,602,86.20%,668,529,79.20%,576,86.20%,Y
2018-2019,19,64733,6016950,Los Angeles,Los Angeles Unified,Eshelman Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,517,381,73.70%,436,84.30%,483,355,73.50%,405,83.90%,Y
2018-2019,19,64733,6016968,Los Angeles,Los Angeles Unified,Euclid Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,780,635,81.40%,679,87.10%,740,610,82.40%,652,88.10%,Y
2018-2019,19,64733,6016976,Los Angeles,Los Angeles Unified,Evergreen Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,712,652,91.60%,681,95.60%,655,601,91.80%,629,96.00%,Y
2018-2019,19,64733,6016984,Los Angeles,Los Angeles Unified,Fair Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,781,644,82.50%,688,88.10%,749,623,83.20%,661,88.30%,Y
2018-2019,19,64733,6016992,Los Angeles,Los Angeles Unified,Fairburn Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,447,63,14.10%,75,16.80%,434,60,13.80%,71,16.40%,Y
2018-2019,19,64733,6017008,Los Angeles,Los Angeles Unified,Farmdale Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,436,340,78.00%,359,82.30%,408,317,77.70%,335,82.10%,Y
2018-2019,19,64733,6017016,Los Angeles,Los Angeles Unified,Fenton Avenue Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,30,Directly funded,Y,K,5,725,538,74.20%,666,91.90%,721,536,74.30%,663,92.00%,Y
2018-2019,19,64733,6017024,Los Angeles,Los Angeles Unified,Fernangeles Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,581,492,84.70%,530,91.20%,546,461,84.40%,498,91.20%,Y
2018-2019,19,64733,6017032,Los Angeles,Los Angeles Unified,Fifteenth Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,522,446,85.40%,470,90.00%,485,413,85.20%,437,90.10%,Y
2018-2019,19,64733,6017040,Los Angeles,Los Angeles Unified,Fifty-Fourth Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,324,250,77.20%,269,83.00%,304,238,78.30%,254,83.60%,Y
2018-2019,19,64733,6017057,Los Angeles,Los Angeles Unified,Fifty-Ninth Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,298,278,93.30%,286,96.00%,273,254,93.00%,262,96.00%,Y
2018-2019,19,64733,6017065,Los Angeles,Los Angeles Unified,Fifty-Second Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,771,706,91.60%,719,93.30%,717,661,92.20%,673,93.90%,Y
2018-2019,19,64733,6017073,Los Angeles,Los Angeles Unified,Figueroa Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,487,452,92.80%,461,94.70%,480,447,93.10%,456,95.00%,Y
2018-2019,19,64733,6017081,Los Angeles,Los Angeles Unified,Hillery T. Broadous Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,488,432,88.50%,448,91.80%,457,405,88.60%,420,91.90%,Y
2018-2019,19,64733,6017099,Los Angeles,Los Angeles Unified,First Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,523,465,88.90%,487,93.10%,493,439,89.00%,459,93.10%,Y
2018-2019,19,64733,6017115,Los Angeles,Los Angeles Unified,Fletcher Drive Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,243,221,90.90%,231,95.10%,219,198,90.40%,208,95.00%,Y
2018-2019,19,64733,6017123,Los Angeles,Los Angeles Unified,Florence Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,709,630,88.90%,660,93.10%,671,603,89.90%,633,94.30%,Y
2018-2019,19,64733,6017131,Los Angeles,Los Angeles Unified,Ford Boulevard Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,"1,011",877,86.70%,920,91.00%,932,821,88.10%,864,92.70%,Y
2018-2019,19,64733,6017149,Los Angeles,Los Angeles Unified,Forty-Ninth Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,709,662,93.40%,680,95.90%,644,607,94.30%,625,97.00%,Y
2018-2019,19,64733,6017156,Los Angeles,Los Angeles Unified,Forty-Second Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,201,181,90.00%,184,91.50%,178,167,93.80%,169,94.90%,Y
2018-2019,19,64733,6017164,Los Angeles,Los Angeles Unified,Fourth Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,475,411,86.50%,434,91.40%,475,411,86.50%,434,91.40%,Y
2018-2019,19,64733,6017172,Los Angeles,Los Angeles Unified,Franklin Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,511,133,26.00%,160,31.30%,511,133,26.00%,160,31.30%,Y
2018-2019,19,64733,6017180,Los Angeles,Los Angeles Unified,Fries Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,487,424,87.10%,453,93.00%,460,405,88.00%,430,93.50%,Y
2018-2019,19,64733,6017198,Los Angeles,Los Angeles Unified,Fullbright Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,458,362,79.00%,390,85.20%,425,341,80.20%,369,86.80%,Y
2018-2019,19,64733,6017206,Los Angeles,Los Angeles Unified,Garden Grove Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,388,323,83.20%,343,88.40%,358,302,84.40%,320,89.40%,Y
2018-2019,19,64733,6017214,Los Angeles,Los Angeles Unified,Gardena Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,545,453,83.10%,487,89.40%,510,422,82.70%,455,89.20%,Y
2018-2019,19,64733,6017222,Los Angeles,Los Angeles Unified,Gardner Street Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,408,189,46.30%,215,52.70%,400,186,46.50%,212,53.00%,Y
2018-2019,19,64733,6017230,Los Angeles,Los Angeles Unified,Garvanza Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,315,251,79.70%,264,83.80%,295,237,80.30%,248,84.10%,Y
2018-2019,19,64733,6017248,Los Angeles,Los Angeles Unified,Gates Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,633,536,84.70%,555,87.70%,599,511,85.30%,529,88.30%,Y
2018-2019,19,64733,6017255,Los Angeles,Los Angeles Unified,Gault Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,304,240,78.90%,254,83.60%,297,236,79.50%,248,83.50%,Y
2018-2019,19,64733,6017263,Los Angeles,Los Angeles Unified,Germain Academy For Academic Achievement,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,551,287,52.10%,344,62.40%,509,264,51.90%,311,61.10%,Y
2018-2019,19,64733,6017271,Los Angeles,Los Angeles Unified,Glassell Park Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,338,292,86.40%,303,89.60%,311,270,86.80%,281,90.40%,Y
2018-2019,19,64733,6017289,Los Angeles,Los Angeles Unified,Gledhill Street Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,436,284,65.10%,346,79.40%,427,281,65.80%,341,79.90%,Y
2018-2019,19,64733,6017297,Los Angeles,Los Angeles Unified,Glen Alta Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,8,168,149,88.70%,155,92.30%,166,147,88.60%,153,92.20%,Y
2018-2019,19,64733,6017305,Los Angeles,Los Angeles Unified,Glenfeliz Boulevard Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,298,172,57.70%,199,66.80%,282,171,60.60%,197,69.90%,Y
2018-2019,19,64733,6017313,Los Angeles,Los Angeles Unified,Glenwood Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,307,248,80.80%,270,87.90%,281,225,80.10%,246,87.50%,Y
2018-2019,19,64733,6017321,Los Angeles,Los Angeles Unified,Graham Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,747,679,90.90%,698,93.40%,715,654,91.50%,672,94.00%,Y
2018-2019,19,64733,6017339,Los Angeles,Los Angeles Unified,Granada Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,401,206,51.40%,253,63.10%,396,204,51.50%,251,63.40%,Y
2018-2019,19,64733,6017347,Los Angeles,Los Angeles Unified,Grand View Boulevard Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,729,361,49.50%,408,56.00%,643,340,52.90%,384,59.70%,Y
2018-2019,19,64733,6017354,Los Angeles,Los Angeles Unified,Grant Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,476,427,89.70%,444,93.30%,470,421,89.60%,438,93.20%,Y
2018-2019,19,64733,6017362,Los Angeles,Los Angeles Unified,Grape Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,517,496,95.90%,502,97.10%,481,463,96.30%,468,97.30%,Y
2018-2019,19,64733,6017388,Los Angeles,Los Angeles Unified,Gridley Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,538,404,75.10%,441,82.00%,495,372,75.20%,408,82.40%,Y
2018-2019,19,64733,6017396,Los Angeles,Los Angeles Unified,Griffin Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,426,362,85.00%,385,90.40%,393,337,85.80%,360,91.60%,Y
2018-2019,19,64733,6017404,Los Angeles,Los Angeles Unified,Gulf Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,783,653,83.40%,676,86.30%,739,626,84.70%,646,87.40%,Y
2018-2019,19,64733,6017412,Los Angeles,Los Angeles Unified,Haddon Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,781,646,82.70%,677,86.70%,745,620,83.20%,649,87.10%,Y
2018-2019,19,64733,6017420,Los Angeles,Los Angeles Unified,Halldale Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,521,420,80.60%,456,87.50%,485,390,80.40%,425,87.60%,Y
